# Transfer functions T_i(k) for adiabatic (AD) mode (normalized to initial curvature=1) at redshift z=0
# for k=1.05367e-05 to 105.476 h/Mpc,
# number of wavenumbers equal to 132
# d_i   stands for (delta rho_i/rho_i)(k,z) with above normalization 
# d_tot stands for (delta rho_tot/rho_tot)(k,z) with rho_Lambda NOT included in rho_tot
# (note that this differs from the transfer function output from CAMB/CMBFAST, which gives the same
#  quantities divided by -k^2 with k in Mpc^-1; use format=camb to match CAMB)
#
#    1:k (h/Mpc)              2:d_g                    3:d_b                    4:d_cdm                  5:d_m                    6:d_ur                   7:d_ncdm[0]              8:d_tot                  9:phi                   10:psi                
       1.326496466208e-04      -1.922483933190e-01      -1.566102039975e-01      -1.566110154970e-01      -1.566162205044e-01      -1.917712814035e-01      -1.563307563133e-01      -1.566157769467e-01       4.740741238101e-01       4.739960260284e-01 
       1.669960109965e-04      -2.902087047053e-01      -2.481823005343e-01      -2.481843242662e-01      -2.481912363948e-01      -2.890575185236e-01      -2.474760992889e-01      -2.481880805547e-01       4.740078842451e-01       4.739350764940e-01 
       2.102355219117e-04      -4.256257832995e-01      -3.932721580390e-01      -3.932771839561e-01      -3.932848051123e-01      -4.229140037191e-01      -3.914956420237e-01      -3.932739958845e-01       4.739042823691e-01       4.738392998835e-01 
       2.646708409965e-04      -5.960202298799e-01      -6.231194539343e-01      -6.231318543061e-01      -6.231356576483e-01      -5.898753295758e-01      -6.186691919439e-01      -6.231052550723e-01       4.737433929289e-01       4.736895085241e-01 
       3.332008474914e-04      -7.747392989615e-01      -9.871446689126e-01      -9.871749549191e-01      -9.871605807495e-01      -7.616714043432e-01      -9.760492340886e-01      -9.870837689857e-01       4.734961267074e-01       4.734569211850e-01 
       4.194750141383e-04      -8.930408425767e-01      -1.563454452038e+00      -1.563527271789e+00      -1.563454721495e+00      -8.680539458625e-01      -1.535963791562e+00      -1.563276848412e+00       4.731215349702e-01       4.730995569777e-01 
       5.280877549114e-04      -8.509954592917e-01      -2.475320505509e+00      -2.475491488665e+00      -2.475257065643e+00      -8.113399712798e-01      -2.407818838625e+00      -2.474881596542e+00       4.725642068195e-01       4.725584609834e-01 
       6.648230943153e-04      -6.257569587429e-01      -3.916918291606e+00      -3.917305951154e+00      -3.916654804100e+00      -5.819418855477e-01      -3.753375553709e+00      -3.915943589979e+00       4.717505922074e-01       4.717542461521e-01 
       8.369626877812e-04      -4.353286778850e-01      -6.193308167479e+00      -6.194144414583e+00      -6.192481557922e+00      -4.179467899249e-01      -5.804870359330e+00      -6.191276951497e+00       4.705796338287e-01       4.705826584386e-01 
       1.053673596371e-03      -4.681650756545e-01      -9.782088239928e+00      -9.783775444497e+00      -9.779790454357e+00      -4.849093671046e-01      -8.885597569618e+00      -9.777881222613e+00       4.689049640729e-01       4.689040706911e-01 
       1.326496466208e-03      -3.331876576620e-01      -1.542753066559e+01      -1.543066311286e+01      -1.542166310761e+01      -3.232370522991e-01      -1.343799932744e+01      -1.541864037656e+01       4.665285690433e-01       4.665281913588e-01 
       1.669960109965e-03      -2.846099898522e-01      -2.428229864290e+01      -2.428761180647e+01      -2.426846088488e+01      -2.659134529822e-01      -2.007481565449e+01      -2.426375953723e+01       4.632165917542e-01       4.632154697955e-01 
       2.102355219117e-03      -1.198063607211e-01      -3.811918759883e+01      -3.812762011691e+01      -3.808903115933e+01      -1.247960764240e-01      -2.964910146143e+01      -3.808173871917e+01       4.587104880938e-01       4.587096796980e-01 
       2.646708409965e-03      -1.133704688720e-01      -5.963879160813e+01      -5.965238360618e+01      -5.957756717427e+01      -9.257237986722e-02      -4.322520875495e+01      -5.956634086067e+01       4.527097537068e-01       4.527087050138e-01 
       3.332008474914e-03      -5.026455995002e-02      -9.290749436625e+01      -9.293128787378e+01      -9.278951321180e+01      -6.614351344037e-02      -6.186700662792e+01      -9.277226936262e+01       4.448718152213e-01       4.448709653910e-01 
       4.194750141383e-03       2.239100527418e-02      -1.439598144014e+02      -1.440026153413e+02      -1.437389827124e+02      -2.805792226294e-01      -8.636269895848e+01      -1.437126442582e+02       4.348203805484e-01       4.348202560747e-01 
       5.280877549114e-03       1.824467338167e-01      -2.215767369785e+02      -2.216561120184e+02      -2.211775485722e+02       1.861861072836e-01      -1.173011331259e+02      -2.211375483255e+02       4.221589455165e-01       4.221588993526e-01 
       6.648230943153e-03       1.758963813842e-01      -3.382171119117e+02      -3.383726689149e+02      -3.375196655657e+02       1.794972866119e-01      -1.530996486453e+02      -3.374592912540e+02       4.064749665402e-01       4.064749552270e-01 
       8.369626877812e-03       1.678386757396e-01      -5.109406498494e+02      -5.112584333327e+02      -5.097816993159e+02       1.712706970239e-01      -1.924576990250e+02      -5.096913387568e+02       3.873636058135e-01       3.873636009669e-01 
       1.053673596371e-02       1.581114456339e-01      -7.619516580366e+02      -7.626234684863e+02      -7.601706100877e+02       1.613408961417e-01      -2.383191202651e+02      -7.600367875515e+02       3.644563787286e-01       3.644563754320e-01 
       1.326496466208e-02       1.465755327991e-01      -1.117740803573e+03      -1.119188232490e+03      -1.115160699274e+03       1.495651688203e-01      -2.704245500093e+02      -1.114965443501e+03       3.373431357462e-01       3.373431334095e-01 
       1.669960109962e-02       1.330123149832e-01      -1.605059279152e+03      -1.608179298486e+03      -1.601812295270e+03       1.357221503070e-01      -2.952465600797e+02      -1.601533062578e+03       3.057355976705e-01       3.057355960724e-01 
       2.102355202030e-02       1.174338508216e-01      -2.242056129780e+03      -2.248617425789e+03      -2.238888936637e+03       1.198238885143e-01      -3.043270215181e+02      -2.238499953630e+03       2.696291973164e-01       2.696291962876e-01 
       2.646695467386e-02       1.002060933578e-01      -3.026298868515e+03      -3.039322124806e+03      -3.025009307199e+03       1.022437649462e-01      -2.945961659875e+02      -3.024485037145e+03       2.298610093152e-01       2.298610086936e-01 
       3.330224374738e-02       8.247671415678e-02      -3.935887908188e+03      -3.959104640085e+03      -3.938981872041e+03       8.415271692624e-02      -2.685782144146e+02      -3.938300394590e+03       1.890529784108e-01       1.890529780566e-01 
       4.135596320779e-02       6.710582501631e-02      -4.932344195496e+03      -4.966326776041e+03      -4.939884932839e+03       6.846882784542e-02      -2.361291335306e+02      -4.939031279829e+03       1.537400714946e-01       1.537400712945e-01 
       4.814365073042e-02       5.816440598142e-02      -5.793755039201e+03      -5.832134493207e+03      -5.801033164865e+03       5.934553909364e-02      -2.140379394092e+02      -5.800031295211e+03       1.332213507384e-01       1.332213506053e-01 
       5.306670472349e-02       5.340144408208e-02      -6.466067306384e+03      -6.504287326261e+03      -6.470138298407e+03       5.448575177364e-02      -2.014859507279e+02      -6.469021213491e+03       1.222970118688e-01       1.222970117661e-01 
       5.712683115337e-02       5.022485473824e-02      -7.051605007039e+03      -7.088060024661e+03      -7.051523674090e+03       5.124460769916e-02      -1.927515112731e+02      -7.050306454374e+03       1.150136063478e-01       1.150136062632e-01 
       6.075211323596e-02       4.776807345522e-02      -7.588708528593e+03      -7.623002052851e+03      -7.584366412582e+03       4.873790450141e-02      -1.858024909796e+02      -7.583057407413e+03       1.093812919286e-01       1.093812918565e-01 
       6.413338979608e-02       4.567619740797e-02      -8.089802981538e+03      -8.122209169512e+03      -8.081595720898e+03       4.660352627285e-02      -1.795801777164e+02      -8.080201060223e+03       1.045864088339e-01       1.045864087716e-01 
       6.737167045857e-02       4.377351406220e-02      -8.557821226606e+03      -8.589071622371e+03      -8.546514669595e+03       4.466218955055e-02      -1.737078177191e+02      -8.545039918826e+03       1.002261229962e-01       1.002261229416e-01 
       7.052752172046e-02       4.196513286720e-02      -8.991920175663e+03      -9.023078630430e+03      -8.978562497688e+03       4.281705790514e-02      -1.679146118773e+02      -8.977013321432e+03       9.608068329381e-02       9.608068324572e-02 
       7.364072767811e-02       4.019718590569e-02      -9.390165895181e+03      -9.422520248844e+03      -9.376001613345e+03       4.101319392739e-02      -1.619988797041e+02      -9.374383977239e+03       9.202970928720e-02       9.202970924468e-02 
       7.673932683540e-02       3.844459590577e-02      -9.750983756845e+03      -9.785934493573e+03      -9.737359184372e+03       3.922499746785e-02      -1.559381671315e+02      -9.735679308679e+03       8.801399593986e-02       8.801399590221e-02 
       7.984423803672e-02       3.670050699416e-02      -1.007427306560e+04      -1.011320998817e+04      -1.006252613351e+04       3.744546605018e-02      -1.497678071764e+02      -1.006079025739e+04       8.401684690307e-02       8.401684686970e-02 
       8.297183101645e-02       3.496954110370e-02      -1.036223285456e+04      -1.040640078711e+04      -1.035356964675e+04       3.567934582562e-02      -1.435041244236e+02      -1.035178365270e+04       8.005257010412e-02       8.005257007454e-02 
       8.613544956543e-02       3.326944883927e-02      -1.061981907537e+04      -1.067018001408e+04      -1.061518559777e+04       3.394471055619e-02      -1.372059416760e+02      -1.061335455822e+04       7.615707592214e-02       7.615707589591e-02 
       8.934636171780e-02       3.162147935192e-02      -1.085510994704e+04      -1.091221287688e+04      -1.085506892760e+04       3.226325826763e-02      -1.310227604537e+02      -1.085319658774e+04       7.238113005914e-02       7.238113003589e-02 
       9.261437787379e-02       3.005057055274e-02      -1.107915095839e+04      -1.114302235826e+04      -1.108377627691e+04       3.066043838146e-02      -1.250871719776e+02      -1.108186456116e+04       6.878241842089e-02       6.878241840024e-02 
       9.594826703267e-02       2.858122261479e-02      -1.130537656889e+04      -1.137545229099e+04      -1.131418480952e+04       2.916125449034e-02      -1.194471750064e+02      -1.131223342157e+04       6.541773694492e-02       6.541773692656e-02 
       9.935604519347e-02       2.723502057505e-02      -1.154847754729e+04      -1.162359542898e+04      -1.156041665911e+04       2.778771744428e-02      -1.142660724270e+02      -1.155842286751e+04       6.233492084731e-02       6.233492083094e-02 
       1.028451799312e-01       2.602515378180e-02      -1.182278870606e+04      -1.190125911735e+04      -1.183629855293e+04       2.655329483228e-02      -1.096092061784e+02      -1.183425724206e+04       5.956546605697e-02       5.956546604232e-02 
       1.064227382963e-01       2.495647806910e-02      -1.214047499332e+04      -1.222022870165e+04      -1.215362118946e+04       2.546293196808e-02      -1.054564444224e+02      -1.215152521102e+04       5.711936293155e-02       5.711936291840e-02 
       1.100954953450e-01       2.402204855115e-02      -1.250910062843e+04      -1.258793659089e+04      -1.251980412497e+04       2.450953722049e-02      -1.018620786164e+02      -1.251764505174e+04       5.498002744224e-02       5.498002743038e-02 
       1.138700146629e-01       2.320338684581e-02      -1.292978234926e+04      -1.300567705687e+04      -1.293610785977e+04       2.367425146281e-02      -9.867269568604e+01      -1.293387704787e+04       5.310450833819e-02       5.310450832745e-02 
       1.177527085547e-01       2.246925232135e-02      -1.339567423891e+04      -1.346713340848e+04      -1.339616256888e+04       2.292523923592e-02      -9.585126005589e+01      -1.339385247339e+04       5.142628063869e-02       5.142628062894e-02 
       1.217498832190e-01       2.178579999389e-02      -1.389138391911e+04      -1.395777175268e+04      -1.388536676186e+04       2.222791833151e-02      -9.319461566048e+01      -1.388297235620e+04       4.986166380821e-02       4.986166379935e-02 
       1.258677727047e-01       2.111273576606e-02      -1.439428938527e+04      -1.445607265679e+04      -1.438212743379e+04       2.154120092882e-02      -9.054050999274e+01      -1.437964741497e+04       4.832151648059e-02       4.832151647253e-02 
       1.301125644413e-01       2.041474062113e-02      -1.487741200240e+04      -1.493624005910e+04      -1.486058208833e+04       2.082904606281e-02      -8.778034114856e+01      -1.485801961295e+04       4.672441417154e-02       4.672441416424e-02 
       1.344904184695e-01       1.966674102464e-02      -1.531426295903e+04      -1.537282467404e+04      -1.529523527440e+04       2.006585646365e-02      -8.477151651688e+01      -1.529259789501e+04       4.501113757158e-02       4.501113756498e-02 
       1.390074820529e-01       1.885700295565e-02      -1.568508845619e+04      -1.574671045950e+04      -1.566695849283e+04       1.923968024669e-02      -8.145999057212e+01      -1.566425705987e+04       4.315735861407e-02       4.315735860814e-02 
       1.436699010599e-01       1.799303405493e-02      -1.598276207126e+04      -1.605077819329e+04      -1.596866352808e+04       1.835817354595e-02      -7.788383889351e+01      -1.596591011367e+04       4.117973065290e-02       4.117973064759e-02 
       1.484838293072e-01       1.710025641196e-02      -1.621714733783e+04      -1.629413500972e+04      -1.620953342903e+04       1.744725872021e-02      -7.416896643361e+01      -1.620673852144e+04       3.913440299137e-02       3.913440298663e-02 
       1.534554369336e-01       1.621437442338e-02      -1.641615594309e+04      -1.650320936505e+04      -1.641610661193e+04       1.654339419293e-02      -7.046208739460e+01      -1.641327612331e+04       3.710668183938e-02       3.710668183517e-02 
       1.585909187897e-01       1.537794077022e-02      -1.662170775249e+04      -1.671796257910e+04      -1.662846685596e+04       1.568998007426e-02      -6.695267411015e+01      -1.662559978713e+04       3.519184981406e-02       3.519184981032e-02 
       1.638965037813e-01       1.462616128043e-02      -1.688071903197e+04      -1.698333963890e+04      -1.689166104153e+04       1.492294795873e-02      -6.379412041589e+01      -1.688874862657e+04       3.347183300171e-02       3.347183299837e-02 
       1.693784660713e-01       1.397963522242e-02      -1.723154251319e+04      -1.733629670884e+04      -1.724269446730e+04       1.426329749059e-02      -6.107164683122e+01      -1.723972156035e+04       3.199154824915e-02       3.199154824616e-02 
       1.750431390264e-01       1.343468866282e-02      -1.769016956510e+04      -1.779254913320e+04      -1.769725429744e+04       1.370729226068e-02      -5.876804626267e+01      -1.769420304847e+04       3.074413102874e-02       3.074413102605e-02 
       1.808969327795e-01       1.296509974032e-02      -1.824051881441e+04      -1.833715816974e+04      -1.824029295791e+04       1.322818021902e-02      -5.681471873777e+01      -1.823714811175e+04       2.966988886193e-02       2.966988885949e-02 
       1.869463562733e-01       1.253103476969e-02      -1.883731028354e+04      -1.892723425915e+04      -1.882874502322e+04       1.278531337093e-02      -5.497894039582e+01      -1.882549874993e+04       2.867701088884e-02       2.867701088663e-02 
       1.931980446425e-01       1.208719051471e-02      -1.941201907308e+04      -1.949724401117e+04      -1.939691086717e+04       1.233246483118e-02      -5.311344449013e+01      -1.939356666420e+04       2.766136666498e-02       2.766136666299e-02 
       1.996587927967e-01       1.159905337300e-02      -1.989714410560e+04      -1.998221231468e+04      -1.987971792706e+04       1.183442705979e-02      -5.101853890625e+01      -1.987629051065e+04       2.654482415118e-02       2.654482414938e-02 
       2.063355960823e-01       1.106135805621e-02      -2.026122491111e+04      -2.035159431803e+04      -2.024661783548e+04       1.128581265420e-02      -4.871884347570e+01      -2.024312718828e+04       2.531341201674e-02       2.531341201514e-02 
       2.132356989277e-01       1.049455273038e-02      -2.052334396577e+04      -2.062317175166e+04      -2.051551267395e+04       1.070750554411e-02      -4.627918181785e+01      -2.051197569181e+04       2.401646384383e-02       2.401646384241e-02 
       2.203666524431e-01       9.938636562801e-03      -2.074923826766e+04      -2.085947007207e+04      -2.074914156193e+04       1.014030019250e-02      -4.387507297165e+01      -2.074556432394e+04       2.274337443095e-02       2.274337442968e-02 
       2.277363820377e-01       9.432095902279e-03      -2.102598835995e+04      -2.114374738364e+04      -2.103097708949e+04       9.623482455194e-03      -4.167943179185e+01      -2.102735128377e+04       2.158445726538e-02       2.158445726425e-02 
       2.353532662697e-01       8.997641900480e-03      -2.142161769592e+04      -2.154144494272e+04      -2.142656408310e+04       9.180211955014e-03      -3.979641120201e+01      -2.142287009789e+04       2.059010639504e-02       2.059010639403e-02 
       2.432262283630e-01       8.629788036990e-03      -2.194869746525e+04      -2.206529061155e+04      -2.194854909899e+04       8.804895501232e-03      -3.819720129383e+01      -2.194476514261e+04       1.974838213350e-02       1.974838213260e-02 
       2.513648421297e-01       8.298957278454e-03      -2.255095297730e+04      -2.266208417148e+04      -2.254349768496e+04       8.467354297551e-03      -3.675304900496e+01      -2.253961117813e+04       1.899147725869e-02       1.899147725787e-02 
       2.597794544632e-01       7.967040242825e-03      -2.312788323681e+04      -2.323577399419e+04      -2.311510498277e+04       8.128703071511e-03      -3.532971003486e+01      -2.311111994926e+04       1.823193591764e-02       1.823193591690e-02 
       2.684813271321e-01       7.608918764565e-03      -2.359300567033e+04      -2.370304412322e+04      -2.357994153485e+04       7.763315453425e-03      -3.374689694414e+01      -2.357587638149e+04       1.741249755541e-02       1.741249755476e-02 
       2.774828013683e-01       7.227696617503e-03      -2.393377347210e+04      -2.405104955550e+04      -2.392526619490e+04       7.374354975637e-03      -3.209628510535e+01      -2.392114152484e+04       1.653983429125e-02       1.653983429067e-02 
       2.867974897405e-01       6.850516410798e-03      -2.422704373643e+04      -2.435287970266e+04      -2.422441957880e+04       6.989519105802e-03      -3.044104319637e+01      -2.422024335128e+04       1.567650354083e-02       1.567650354031e-02 
       2.964405011404e-01       6.507971628577e-03      -2.458649793653e+04      -2.471756052026e+04      -2.458665441326e+04       6.640023361532e-03      -2.893353971000e+01      -2.458241575265e+04       1.489261202483e-02       1.489261202437e-02 
       3.064287064602e-01       6.210847170955e-03      -2.507410153209e+04      -2.520508468994e+04      -2.507199755124e+04       6.336870429016e-03      -2.762975685366e+01      -2.506767523367e+04       1.421269895707e-02       1.421269895666e-02 
       3.167810548881e-01       5.943370317214e-03      -2.564812544261e+04      -2.577613425333e+04      -2.564093667094e+04       6.063967613187e-03      -2.645466645490e+01      -2.563651628447e+04       1.360072316699e-02       1.360072316662e-02 
       3.275189538917e-01       5.678799613509e-03      -2.619920285766e+04      -2.632612805643e+04      -2.618862398935e+04       5.794028882980e-03      -2.527339334573e+01      -2.618410919743e+04       1.299530031014e-02       1.299530030981e-02 
       3.386667302257e-01       5.402565885774e-03      -2.664909543835e+04      -2.677964799594e+04      -2.663954644850e+04       5.512189563371e-03      -2.407612564164e+01      -2.663495393258e+04       1.236312536936e-02       1.236312536907e-02 
       3.502521951526e-01       5.123288817762e-03      -2.702595999433e+04      -2.716298195388e+04      -2.702016097149e+04       5.227244425459e-03      -2.283006288053e+01      -2.701550285190e+04       1.172391649726e-02       1.172391649700e-02 
       3.623073452076e-01       4.861072008503e-03      -2.743613143000e+04      -2.757786592623e+04      -2.743245424024e+04       4.959707082240e-03      -2.166628445374e+01      -2.742772505538e+04       1.112389554576e-02       1.112389554553e-02 
       3.748692413180e-01       4.624930844696e-03      -2.794647954857e+04      -2.808891813412e+04      -2.794110068884e+04       4.718774614555e-03      -2.063205178133e+01      -2.793628382772e+04       1.058352675602e-02       1.058352675581e-02 
       3.879811255521e-01       4.403697441320e-03      -2.850672670911e+04      -2.864851072595e+04      -2.849827875041e+04       4.493052624279e-03      -1.965942755279e+01      -2.849336584627e+04       1.007729446499e-02       1.007729446481e-02 
       4.016938587649e-01       4.182225116379e-03      -2.902098778510e+04      -2.916481245977e+04      -2.901194600532e+04       4.267086267931e-03      -1.866473602504e+01      -2.900694455890e+04       9.570463966555e-03       9.570463966393e-03 
       4.160677980513e-01       3.960083282269e-03      -2.947918264711e+04      -2.962777323814e+04      -2.947209296638e+04       4.040436745441e-03      -1.767750751176e+01      -2.946701220393e+04       9.062109085370e-03       9.062109085227e-03 
       4.311752869293e-01       3.747758898197e-03      -2.996005195298e+04      -3.011241760683e+04      -2.995397866121e+04       3.823803544325e-03      -1.673496977036e+01      -2.994881483491e+04       8.576168597926e-03       8.576168597800e-03 
       4.471040148684e-01       3.549285646466e-03      -3.051019989144e+04      -3.066380683629e+04      -3.050269936029e+04       3.621303949364e-03      -1.586589636635e+01      -3.049744094813e+04       8.122087259433e-03       8.122087259322e-03 
       4.639616356584e-01       3.357520013204e-03      -3.108006682065e+04      -3.123527258344e+04      -3.107135166191e+04       3.425646858589e-03      -1.501706144503e+01      -3.106599522772e+04       7.683206765589e-03       7.683206765492e-03 
       4.818822508901e-01       3.166306383830e-03      -3.161693805282e+04      -3.177592407036e+04      -3.160899277032e+04       3.230553097083e-03      -1.415908622939e+01      -3.160354366001e+04       7.245615983278e-03       7.245615983193e-03 
       5.010357293130e-01       2.980262736632e-03      -3.217156536409e+04      -3.233401292015e+04      -3.216404212884e+04       3.040734817105e-03      -1.333612901451e+01      -3.215849734126e+04       6.819927292439e-03       6.819927292364e-03 
       5.216414668512e-01       2.802075617898e-03      -3.278786480595e+04      -3.295242719919e+04      -3.277935322891e+04       2.858931877056e-03      -1.252941242784e+01      -3.277370237543e+04       6.412135355999e-03       6.412135355934e-03 
       5.439893379097e-01       2.625590830397e-03      -3.341160700199e+04      -3.357938800522e+04      -3.340300302050e+04       2.678866221333e-03      -1.174252022833e+01      -3.339724466356e+04       6.008295079477e-03       6.008295079422e-03 
       5.684727512704e-01       2.450939922236e-03      -3.405918608173e+04      -3.423066115832e+04      -3.405078306554e+04       2.500671224206e-03      -1.096378901723e+01      -3.404491304532e+04       5.608598031337e-03       5.608598031289e-03 
       5.956430119263e-01       2.278951285514e-03      -3.476916578953e+04      -3.494375454442e+04      -3.476019519764e+04       2.325192815271e-03      -1.019697158999e+01      -3.475420288944e+04       5.215027713838e-03       5.215027713798e-03 
       6.263031822375e-01       2.105922334680e-03      -3.552206720016e+04      -3.570068341324e+04      -3.551310576995e+04       2.148653151595e-03      -9.435341377560e+00      -3.550698367520e+04       4.819099954968e-03       4.819099954935e-03 
       6.616797200552e-01       1.931208847203e-03      -3.635882041551e+04      -3.654147913930e+04      -3.634950447170e+04       1.970394305563e-03      -8.644794316566e+00      -3.634323819815e+04       4.419258061068e-03       4.419258061040e-03 
       7.037582277056e-01       1.751303762779e-03      -3.729848173066e+04      -3.748594257023e+04      -3.728898897950e+04       1.786838716797e-03      -7.838555190820e+00      -3.728256075661e+04       4.007561115108e-03       4.007561115086e-03 
       7.559926591020e-01       1.562471963850e-03      -3.840002641106e+04      -3.859297265958e+04      -3.839020562381e+04       1.594175463341e-03      -6.997610581023e+00      -3.838358757125e+04       3.575458961084e-03       3.575458961066e-03 
       8.249241681955e-01       1.358428633420e-03      -3.975124323799e+04      -3.995096426100e+04      -3.974105939233e+04       1.385992046169e-03      -6.088471664278e+00      -3.973420847627e+04       3.108550314344e-03       3.108550314331e-03 
       9.240060193123e-01       1.130948585417e-03      -4.152173057914e+04      -4.173033790837e+04      -4.151107972753e+04       1.153896121063e-03      -5.077387282117e+00      -4.150392368961e+04       2.587980175013e-03       2.587980175005e-03 
       1.080694196785e+00       8.759918333835e-04      -4.399343911787e+04      -4.421447311643e+04      -4.398215501711e+04       8.937661151791e-04      -3.926741654834e+00      -4.397457300505e+04       2.004552256425e-03       2.004552256421e-03 
       1.330092819727e+00       6.218812010407e-04      -4.730999295946e+04      -4.754775036591e+04      -4.729790245299e+04       6.344994249302e-04      -2.794388949755e+00      -4.728974885570e+04       1.423064220025e-03       1.423064220022e-03 
       1.671716227213e+00       4.244555551467e-04      -5.100781823055e+04      -5.126431951583e+04      -5.099491276347e+04       4.330678801665e-04      -1.908112390797e+00      -5.098612185395e+04       9.712885139896e-04       9.712885139887e-04 
       2.104513513578e+00       2.876024225215e-04      -5.477360748093e+04      -5.504936716064e+04      -5.476001649932e+04       2.934378989474e-04      -1.293471461801e+00      -5.475057653703e+04       6.581223636672e-04       6.581223636668e-04 
       2.649425346685e+00       1.940639405538e-04      -5.857550158664e+04      -5.887098696453e+04      -5.856145736422e+04       1.980014428879e-04      -8.685575667209e-01      -5.855136208358e+04       4.440736646203e-04       4.440736646201e-04 
       3.335428895492e+00       1.304581308032e-04      -6.240676742211e+04      -6.272260330354e+04      -6.239266481685e+04       1.331050226432e-04      -5.839181242671e-01      -6.238190908543e+04       2.985222301321e-04       2.985222301320e-04 
       4.199056195767e+00       8.740262609582e-05      -6.626242679383e+04      -6.659953042521e+04      -6.624892899042e+04       8.917588281072e-05      -3.931432200424e-01      -6.623750848804e+04       1.999963197969e-04       1.999963197969e-04 
       5.286298550403e+00       5.837645171935e-05      -7.013786676063e+04      -7.049765879318e+04      -7.012608129421e+04       5.956073771971e-05      -2.624693495314e-01      -7.011399241954e+04       1.335742404434e-04       1.335742404434e-04 
       6.655055579433e+00       3.888025629868e-05      -7.402859197501e+04      -7.441334177432e+04      -7.402036098264e+04       3.966894077493e-05      -1.738625809017e-01      -7.400760078279e+04       8.895991129630e-05       8.895991129629e-05 
       8.378218585851e+00       2.582890793927e-05      -7.793020259084e+04      -7.834359621091e+04      -7.792858058006e+04       2.635276082859e-05      -1.164917356079e-01      -7.791514665174e+04       5.909352655545e-05       5.909352655545e-05 
       1.054755228329e+01       1.711831001194e-05      -8.183680200787e+04      -8.228486704366e+04      -8.184684117556e+04       1.746540782044e-05      -7.742826317413e-02      -8.183273178768e+04       3.916021479229e-05       3.916021479229e-05 
       1.327858160167e+01       1.132099896156e-05      -8.574226385471e+04      -8.623489887580e+04      -8.577230274492e+04       1.155045408781e-05      -5.060746375124e-02      -8.575751665602e+04       2.589346748826e-05       2.589346748826e-05 
       1.671674381092e+01       7.472341439282e-06      -8.963661939171e+04      -9.019007951464e+04      -8.970039269946e+04       7.623693295825e-06      -3.359127616928e-02      -8.968492945636e+04       1.708588530995e-05       1.708588530995e-05 
